Project Id;Project Name;Project Link;Project Scope;Citizen Science Web Name;Citizen Science Web Link
72;AEV – Centro de Ciência Cidadã;https://ciencia-ciudadana.es/proyecto-cc/aev-centro-de-ciencia-cidada/;Animales, Biodiversidad, Biología, Ciencia de los Alimentos, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Informática y Ciencias de la Computación, Naturaleza y Aire Libre, Pájaros;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
73;The MECO project – Tiburones y Rayas del Mediterráneo Occidental;https://ciencia-ciudadana.es/proyecto-cc/the-meco-project-tiburones-y-rayas-del-mediterraneo-occidental/;Animales, Biodiversidad, Biogeografía, Biología, Ecología y Medioambiente, Educación, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
74;Surfrider España – Protegiendo el océano;https://ciencia-ciudadana.es/proyecto-cc/surfrider-espana-protegiendo-el-oceano/;Biodiversidad, Ciencias Políticas, Ciencias Sociales, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
75;Ocean Initiatives;https://ciencia-ciudadana.es/proyecto-cc/ocean-initiatives/;Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
76;Proyecto COVID-PHYM;https://ciencia-ciudadana.es/proyecto-cc/proyecto-covid-phym/;Biología, Genética, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
77;Detección precoz del riesgo de diabetes gestacional;https://ciencia-ciudadana.es/proyecto-cc/deteccion-precoz-del-riesgo-de-diabetes-gestacional/;Biología, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
78;Proyecto Ríos;https://ciencia-ciudadana.es/proyecto-cc/proyecto-rios-2/;Animales, Biodiversidad, Clima y Meteorología, Ecología y Medioambiente, Educación, Gestión de Recursos Naturales, Insectos y Polinizadores, Naturaleza y Aire Libre, Pájaros, Seguimiento de Especies a largo plazo;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
79;FLOODUP;https://ciencia-ciudadana.es/proyecto-cc/floodup/;Clima y Meteorología, Educación, Geografía, Geología y Ciencias de la Tierra, Gestión de Recursos Naturales, Naturaleza y Aire Libre, Océanos, Agua, Marino y Terrestre;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
80;CoActuamos para la Salud Mental;https://ciencia-ciudadana.es/proyecto-cc/coactuamos-para-la-salud-mental/;Ciencias Sociales, Física, Informática y Ciencias de la Computación;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
81;CoAct (Co-designing Citizen Social Science for Collective Action)/ Co-diseñando la Ciencia Ciudadana Social para la Acción Colectiva;https://ciencia-ciudadana.es/proyecto-cc/coact-co-designing-citizen-social-science-for-collective-action-co-disenando-la-ciencia-ciudadana-social-para-la-accion-colectiva/;Ciencias Sociales, Informática y Ciencias de la Computación, Medicina y Salud;Observatorio de la Ciencia Ciudadana en España;https://ciencia-ciudadana.es/proyecto-cc/
